Value
5592
5277
5177
3953
3342
4571
3323
4006
4494
3602
3620
4241
3762
3791
4899
3399
3169
3711
3706
3754
4092
3288
3936
4517
3188
3765
3462
3439
3561
4401
3271
3168
4344
3216
3561
3700
3412
3469
4745
3458
3730
3862
4278
4010
3840
5261
4832
3526
3725
4406
3771
3865
3902
3300
3385
4342
3478
3227
4324
3576
3844
3910
3730
3470
3811
3351
3263
4157
3660
3701
4745
3755
3591
4568
3750
3747
4689
3051
3613
3536
3407
3832
3426
5554
3849
3759
3855
3739
4002
5560
2926
3753
3156
3401
3260
5216
3710
3202
3094
3242
